2 beat	2												Flares	Vitruvian	Pinwheel	5 beat	https://www.youtube.com/embed/DlPKIKAaELw
3 beat	3												CAPs	Basic Tosses	Around the World	5 beat	https://www.youtube.com/embed/QAUqZUhJrRs
Around the World	4												Basic Tosses	Pinwheel			https://www.youtube.com/embed/kI_LpMCEbHU
Flares	4												Circles				https://www.youtube.com/embed/6v2K3ZQB420
CAPs	6												Around the World				https://www.youtube.com/embed/xAnblyitE6o
Circles	6																https://www.youtube.com/embed/MD7EFwfWto0
Pinwheel	5												Helicopter				https://www.youtube.com/embed/jTGx_bnmiAc
Helicopter	4																https://www.youtube.com/embed/7HxlXewWvhI
1 beat	1												Corkscrew	Windmill			https://www.youtube.com/embed/r7Q-RaDR5zw
Corkscrew	2												Corkscrew Toss				https://www.youtube.com/embed/rG3JiAhWe4w
Windmill	2												Vitruvian				https://www.youtube.com/embed/nVgpGryazg0
Vitruvian	2												Double Vitruvian				https://www.youtube.com/embed/Fp1J8cyPtbs
Basic toss	4												Corkscrew Toss	Under leg Toss	The Big Yeet		https://www.youtube.com/embed/Ox9peZ8X644
Corkscrew Toss	5																https://www.youtube.com/embed/GUZm-ydPXww
Under leg toss	7																https://www.youtube.com/embed/z6qjcLsy9pQ
The Big Yeet	Expert																https://www.youtube.com/embed/pnFnXGZZlk0
5 beat	6												Double 5 beat				https://www.youtube.com/embed/cgeMRWXHpKE
Hand rolls	5																https://www.youtube.com/embed/9O-d5_t8LFk
4 petal antispin flower	5												Frontals	Some other move i forgot the name of			https://www.youtube.com/embed/liWwYFRsDAU
Double 5 beat	8																https://www.youtube.com/embed/a_VWW_WSlx4
Double Vitruvian	6																https://www.youtube.com/embed/bnvOseSB_sM
Frontals	7																https://www.youtube.com/embed/ia9_2nRKGoo
Choo Choo	Medium																https://www.youtube.com/embed/orOxqNUzYuY
Isolations 	7																https://www.youtube.com/embed/FTEOd-_voYE
8-step caps	10																a
Chase the Sun/Moon																	https://www.youtube.com/embed/AezhR21dGUY
No Beat Toss 																	https://www.youtube.com/embed/ey0hKktzI5k
